,Country,City,Year,co,no2,o3,pm10,pm25,so2
22,AT,Linz,2022,0.1,8.205442176870749,,14.819727891156463,41.255102040816325,1.6180272108843539
23,AT,Linz,2023,0.1,8.7,,53.0,139.0,2.1
24,AT,Salzburg,2016,0.10000000000000002,18.900000000000002,,18.833333333333332,,1.8833333333333335
25,AT,Salzburg,2017,0.1,18.708196721311474,,19.983606557377048,,1.9207650273224044
26,AT,Salzburg,2018,0.1,16.351912568306012,,18.852459016393443,,1.5426229508196723
27,AT,Salzburg,2019,0.09999999999999999,14.919518716577539,,15.141711229946525,,1.6782258064516131
28,AT,Salzburg,2020,0.1,10.821012658227849,,13.197468354430379,,1.4354430379746836
29,AT,Salzburg,2021,0.10000000000000002,11.337532133676094,,13.874035989717223,30.17105263157895,1.5512886597938145
30,AT,Salzburg,2022,0.1,8.380338983050846,,12.31186440677966,35.061016949152545,1.7716723549488056
31,AT,Salzburg,2023,0.1,9.2,,18.0,46.0,0.8
32,AT,Vienna,2016,0.10000000000000002,12.066666666666665,,11.833333333333334,37.0,2.216666666666667
33,AT,Vienna,2017,0.1,10.027868852459015,,20.05464480874317,53.09836065573771,2.6464480874316942
34,AT,Vienna,2018,0.09999999999999999,9.246448087431693,,19.56830601092896,52.82513661202186,2.6540983606557376
35,AT,Vienna,2019,0.1,8.276470588235295,,15.272727272727273,42.68181818181818,1.536631016042781
36,AT,Vienna,2020,0.1,7.342278481012658,,14.51645569620253,39.80506329113924,1.098227848101266
37,AT,Vienna,2021,0.10000000000000002,7.609768637532134,,15.359897172236504,41.46529562982005,1.0326478149100258
38,AT,Vienna,2022,0.1,6.755593220338984,,13.850847457627118,35.21694915254237,1.3135593220338984
39,AT,Vienna,2023,0.1,11.0,,28.0,80.0,1.1
40,BA,Sarajevo,2016,0.10000000000000002,18.933333333333334,7.3,123.33333333333333,,22.53333333333333
41,BA,Sarajevo,2017,0.1,12.331843575418995,21.768156424581004,37.23463687150838,,11.808379888268155
42,BA,Sarajevo,2018,0.12562500000000001,12.154878048780489,10.712195121951218,42.707317073170735,54.8974358974359,9.12439024390244
43,BA,Sarajevo,2019,3.075074183976261,10.095714285714285,22.947863247863246,34.01136363636363,84.82649842271293,8.009943181818182
44,BA,Sarajevo,2020,5.956542056074767,7.210025706940874,17.378030303030304,36.666666666666664,83.83585858585859,11.5451871657754
45,BA,Sarajevo,2021,4.258862876254181,9.663072776280323,17.226954177897575,29.12398921832884,73.51546391752578,10.084813753581662
46,BA,Sarajevo,2022,2.223481781376518,8.978947368421053,22.106072874493925,24.94331983805668,67.0406779661017,5.247368421052631
47,BA,Sarajevo,2023,,,,,185.0,
48,BA,Tuzla,2016,0.1,10.225,7.875,,110.75,28.1
49,BA,Tuzla,2017,0.1,10.07158469945355,9.748633879781421,,110.8688524590164,27.74098360655738
50,BA,Tuzla,2018,0.1,9.869398907103825,9.543715846994536,,99.26229508196721,21.02295081967213
51,BA,Tuzla,2019,0.10137362637362637,9.84945355191257,7.47304347826087,,84.75206611570248,18.272131147540986
52,BA,Tuzla,2020,0.1,8.047979797979798,10.715151515151515,,88.82828282828282,22.28131313131313
53,BA,Tuzla,2021,0.10000000000000002,9.923650385604114,16.14215938303342,32.88306451612903,85.05912596401028,25.224421593830332
54,BA,Tuzla,2022,0.1,8.104794520547944,14.319520547945206,24.91826923076923,60.89383561643836,25.426027397260274
55,BA,Tuzla,2023,0.1,10.8,1.3,,165.0,53.5
56,BA,Zenica,2016,10.0,12.450000000000001,8.766666666666667,83.66666666666667,,52.43333333333334
57,BA,Zenica,2017,3.932584269662921,8.906145251396648,14.74804469273743,46.81005586592179,,28.060893854748603
58,BA,Zenica,2018,5.965476190476191,6.432142857142857,15.168452380952383,38.70238095238095,,26.68452380952381
59,BA,Zenica,2019,5.001420454545454,9.292045454545455,19.211079545454545,38.71509971509972,73.74501992031873,26.857670454545453
60,BA,Zenica,2020,4.623484848484849,11.016962025316456,22.37449494949495,38.59090909090909,76.77941176470588,31.598484848484848
61,BA,Zenica,2021,4.7895161290322585,7.04331550802139,23.11769436997319,35.37801608579088,58.61333333333334,32.798382749326144
62,BA,Zenica,2022,2.506477732793522,6.023886639676114,15.549797570850203,26.57085020242915,48.5609756097561,22.836437246963563
63,BE,Antwerpen,2016,0.10000000000000002,17.566666666666666,5.466666666666668,24.833333333333332,71.83333333333333,1.6000000000000003
64,BE,Antwerpen,2017,0.10000000000000002,13.321311475409837,17.307344632768363,20.939890710382514,55.19672131147541,2.5209944751381217
65,BE,Antwerpen,2018,0.1,11.990163934426228,18.645555555555553,23.081967213114755,53.814207650273225,2.434806629834254
66,BE,Antwerpen,2019,0.1,11.03780160857909,16.782702702702704,19.528150134048257,44.66219839142091,2.74366576819407
67,BE,Antwerpen,2020,0.1,9.06064139941691,18.078614457831325,18.971052631578946,41.03421052631579,3.2482352941176473
68,BE,Antwerpen,2021,0.1,11.147668393782384,19.3,19.84536082474227,46.123711340206185,3.257216494845361
69,BE,Antwerpen,2022,,,,17.22457627118644,34.61864406779661,
70,BE,Brussels,2016,0.10000000000000002,17.5,6.066666666666666,23.666666666666668,68.83333333333333,1.225
71,BE,Brussels,2017,0.1,12.519125683060109,17.48846153846154,19.284153005464482,52.22950819672131,0.897945205479452
72,BE,Brussels,2018,0.09999999999999999,11.231693989071038,18.37486338797814,20.491803278688526,51.90163934426229,1.5782608695652176
73,BE,Brussels,2019,0.1,10.416890080428955,18.09142091152815,16.49597855227882,41.42359249329759,0.9198924731182795
74,BE,Brussels,2020,0.1,7.476384839650146,19.695894428152492,15.673684210526316,36.52105263157895,0.9092307692307692
75,BE,Brussels,2021,0.1,8.283505154639176,21.43575129533679,15.709511568123393,41.3598971722365,0.860989010989011
76,BE,Brussels,2022,,,,14.823529411764707,34.936974789915965,
77,BE,Charleroi,2016,0.10000000000000002,17.5,3.3166666666666664,32.833333333333336,89.66666666666667,1.1
78,BE,Charleroi,2017,0.1,12.101685393258427,17.565697674418605,22.412087912087912,60.17032967032967,0.9944444444444445
79,BE,Charleroi,2018,0.1,10.46502732240437,20.031666666666666,19.338797814207652,45.07103825136612,0.8123893805309734
80,BE,Charleroi,2019,0.09999999999999999,9.81490514905149,17.196703296703298,15.51490514905149,34.96747967479675,0.7411042944785275
81,BE,Charleroi,2020,0.1,7.774052478134111,17.853644314868806,14.139473684210527,30.23746701846966,0.7034482758620689
82,BE,Charleroi,2021,0.1,9.238144329896908,18.36524064171123,14.922480620155039,35.79015544041451,0.6359281437125749
83,BE,Charleroi,2022,,,,13.772151898734178,25.09282700421941,
84,BE,Gent,2016,0.1,16.133333333333333,8.116666666666667,22.666666666666668,67.5,1.1
85,BE,Gent,2017,0.1,11.803825136612021,19.01256830601093,20.726775956284154,54.28415300546448,1.155921052631579
86,BE,Gent,2018,0.1,10.978142076502733,19.75846994535519,23.94535519125683,55.950819672131146,1.2164383561643834
87,BE,Gent,2019,0.1,9.90402144772118,18.968364611260053,20.517426273458444,46.638069705093834,1.455873015873016
88,BE,Gent,2020,0.09999999999999999,7.765597667638484,19.759183673469387,19.028947368421054,41.73947368421052,4.104347826086956
89,BE,Gent,2021,0.1,8.795336787564766,20.255440414507774,19.943298969072163,46.99226804123711,
90,BE,Gent,2022,,,,17.74576271186441,36.19915254237288,
91,BE,Liège,2016,0.10000000000000002,17.583333333333332,4.866666666666666,30.5,84.66666666666667,1.6833333333333336
92,BE,Liège,2017,0.1,11.240437158469945,19.575706214689266,21.40983606557377,57.28415300546448,2.462275449101796
93,BE,Liège,2018,0.1,10.27704918032787,20.983333333333334,19.23497267759563,45.43715846994535,1.0533333333333332
94,BE,Liège,2019,0.1,8.69728997289973,19.20191256830601,14.433604336043361,33.48780487804878,1.300557103064067
95,BE,Liège,2020,0.1,6.929154518950437,19.504956268221573,13.278947368421052,29.66842105263158,1.725147928994083
96,BE,Liège,2021,0.09999999999999999,7.681443298969072,19.78917525773196,14.5968992248062,35.81912144702842,1.4950276243093923
97,BE,Liège,2022,,,,13.253164556962025,25.17721518987342,
98,BE,Namur,2016,,8.733333333333333,6.283333333333334,21.666666666666668,66.83333333333333,
99,BE,Namur,2017,,5.965536723163843,20.251445086705203,17.576923076923077,52.472527472527474,
100,BE,Namur,2018,,5.054237288135593,22.938150289017344,18.34426229508197,45.03846153846154,
101,BE,Namur,2019,,3.8602209944751382,20.636612021857925,13.05420054200542,32.36784741144414,
102,BE,Namur,2020,,4.505830903790088,20.016326530612247,12.089473684210526,27.27659574468085,
103,BE,Namur,2021,,5.5639175257731965,20.757216494845363,13.484455958549223,33.888020833333336,
104,BE,Namur,2022,,,,11.147679324894515,23.294871794871796,
105,BG,Burgas,2016,0.25,32.28333333333333,15.133333333333333,13.166666666666666,,6.5
106,BG,Burgas,2017,0.21,10.708791208791208,22.063736263736264,25.395604395604394,,7.637222222222222
107,BG,Burgas,2018,0.20055865921787708,7.128415300546448,25.037704918032784,22.0,,5.352459016393443
108,BG,Burgas,2019,,6.477567567567567,18.023513513513514,22.218579234972676,,5.985135135135135
109,BG,Burgas,2020,0.1,5.692613636363636,15.584745762711865,25.141242937853107,,7.352542372881357
110,BG,Burgas,2021,0.1,5.771578947368421,18.43,25.33684210526316,,6.13578947368421
111,BG,Burgas,2022,0.1,4.816845878136201,19.805017921146955,22.470149253731343,,5.008602150537635
112,BG,Burgas,2023,,6.4,5.8,,,5.5
113,BG,Plovdiv,2018,,12.648905109489052,21.409160305343512,32.279411764705884,,4.848175182481752
114,BG,Plovdiv,2019,0.1,13.016304347826088,16.96135135135135,32.176151761517616,,5.860810810810811
115,BG,Plovdiv,2020,0.1,11.65925925925926,17.33172804532578,29.646723646723647,2.0,4.056373937677054
116,BG,Plovdiv,2021,0.1,12.974338624338625,17.362864721485412,28.41005291005291,,3.6489417989417987
117,BG,Plovdiv,2022,0.1,1.9049295774647887,17.51654929577465,26.489436619718308,,4.122222222222222
118,BG,Plovdiv,2023,,2.3,1.1,70.0,,
119,BG,Sofia,2016,0.10000000000000002,5.166666666666667,16.933333333333334,16.166666666666668,,1.1666666666666667
120,BG,Sofia,2017,0.11767955801104973,9.701657458563536,21.424309392265194,23.939393939393938,93.00561797752809,1.1591160220994476
121,BG,Sofia,2018,0.10109289617486339,10.89398907103825,18.924043715846995,24.264367816091955,81.28813559322033,1.3299999999999998
