,Country Name,Country Code,Year,Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Agricultural land (% of land area),Agricultural land (sq. km),Alternative and nuclear energy (% of total energy use),Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Waste (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Deforestation (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Other Land (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Electric power consumption (kWh per capita),Energy intensity level of primary energy (MJ/$2021 PPP GDP),Energy use (kg of oil equivalent per capita),F-gases emissions from Industrial Processes (Mt CO2e),Forest area (% of land area),Forest area (sq. km),Forest rents (% of GDP),Fossil fuel energy consumption (% of total),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),"GNI per capita, Atlas method (current US$)","Industry (including construction), value added (current US$)",Land area (sq. km),Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),Methane (CH4) emissions from Agriculture (Mt CO2e),Methane (CH4) emissions from Building (Energy) (Mt CO2e),Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e),Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e),Methane (CH4) emissions from Industrial Processes (Mt CO2e),Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),Methane (CH4) emissions from Transport (Energy) (Mt CO2e),Methane (CH4) emissions from Waste (Mt CO2e),Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e),Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e),Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e),Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e),Nitrous oxide (N2O) emissions from Waste (Mt CO2e),Population density (people per sq. km of land area),Population in the largest city (% of urban population),Terrestrial and marine protected areas (% of total territorial area),Terrestrial protected areas (% of total land area),Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),Total greenhouse gas emissions including LULUCF (Mt CO2e),Urban population,Urban population (% of total population),Urban population growth (annual %),GDP_per_capita_log
264,Portugal,PRT,2017,100.0,100.0,100.0,40.1000899508327,36733.928,8.49,25.7223891622246,55.1436,5.35359164296186,0.0368,3.9298,2.6216,5.672,4.3292,21.8359,16.7,0.0183,1.1434,-1.1183,0.0,14.2703,13.8547,5014.1258021611,2.8,2209.9813508898,3.0042,36.154994891142,33120.0,0.126565820094357,0.0,3.31472008175986,21442.3842768879,3.56700126187077,20030.0,42514763688.6907,91605.6,11.2645,5.156,0.2867,0.5973,0.0455,0.0034,0.0479,0.0252,5.1025,2.1265,0.123,0.0054,0.0598,0.576,0.0932,0.1507,0.2727,112.441815784188,46.2569919352533,16.5,22.9,72.8197,7.06966787375125,86.6744,6296540.0,61.1296726507436,-0.251456778353515,9.973171451463381
265,Portugal,PRT,2018,100.0,100.0,100.0,40.791900276839,37367.665,11.55,16.5211324763915,51.1078,4.96972818082616,0.0338,4.0493,2.3551,5.5264,3.8244,18.4783,16.8199,0.0205,1.1132,-1.8863,0.0,-2.9046,-4.2036,5048.60935943854,2.63,2140.97558921814,3.1117,36.154994891142,33120.0,0.133573334549281,0.0,2.94628343449202,23541.1401075289,3.11123658697107,22040.0,46922550223.1851,91605.6,11.2953,5.1271,0.2848,0.6411,0.0447,0.002,0.0455,0.0248,5.1253,2.1374,0.1245,0.0049,0.0589,0.5165,0.084,0.1517,0.2849,112.261935951514,46.5702124085162,16.9,22.9,68.8776,6.69766551774233,64.674,6285812.0,61.1233069673808,-0.170524598256827,10.066547290340703
266,Portugal,PRT,2019,100.0,100.0,100.0,43.1253165745326,39505.205,10.77,5.85138641265439,46.4279,4.51358282400518,0.0365,4.0651,2.2094,5.4459,4.0183,13.4374,17.1967,0.0186,1.1028,-1.6315,0.0,-2.5061,-3.5202,5016.98235792727,2.53,2115.18570481977,3.2351,36.154994891142,33120.0,0.105115233254845,0.0,2.74568432648596,23343.3628970034,2.72130207848775,23250.0,45348501854.2744,91605.6,11.4849,5.2449,0.2855,0.6902,0.0462,0.0033,0.048,0.0252,5.1416,2.2085,0.1254,0.0046,0.0609,0.51,0.0652,0.1553,0.2827,112.288582794065,46.8006703951138,16.9,22.9,64.5604,6.27637072861155,61.0402,6286442.0,61.114927250613,0.0100220692411571,10.058110816263882
267,Portugal,PRT,2020,100.0,100.0,100.0,43.1660902826901,39542.556,12.62,-7.33446720806906,40.6444,3.94717687468905,0.0348,4.0354,2.0775,5.3212,4.0522,10.7719,14.3305,0.021,1.0898,-3.0391,0.0,-1.7131,-3.7906,4858.94983248165,2.56,1957.30550192994,3.1966,36.154994891142,33120.0,0.0954939947589765,0.0,-8.20463159324387,22299.4044062173,-8.30107079726919,21910.0,44533489571.4476,91605.6,11.4945,5.3158,0.2885,0.7329,0.0457,0.0031,0.0514,0.0209,5.0361,2.2179,0.1339,0.0043,0.0603,0.4766,0.0594,0.13,0.2646,112.406676011074,46.9945986581277,17.1,22.9,58.6825,5.69894516708182,54.8919,6291955.0,61.1042566768691,0.0876582342410479,10.012360092091727
268,Portugal,PRT,2021,100.0,100.0,100.0,43.2538567511157,39622.955,13.02,-11.1701860861714,38.962,3.76014625214405,0.0188,3.9643,1.6629,5.4508,3.9398,8.4732,15.4308,0.0214,1.0767,-1.4525,0.0,-1.9584,-2.8381,4901.6433485549,2.42,1943.29269675495,3.2385,36.154994891142,33120.0,0.0909308598606746,0.0,5.55875672070374,24711.4510062111,4.89913107175563,23980.0,49451654454.8364,91605.6,11.5434,5.2588,0.2909,0.7944,0.0439,0.003,0.0531,0.0226,5.0767,2.0882,0.1367,0.0034,0.0576,0.4553,0.0577,0.1402,0.2768,113.113510527741,46.9402458608019,17.1,22.9,56.9598,5.49707865337699,54.1217,6330574.0,61.0951249296597,0.611907811837652,10.115062484926016
272,Romania,ROU,2017,100.0,100.0,99.6,58.1449930458971,133780.0,15.33,-56.4276654917517,81.7983,4.17578692629915,1.1971,10.6599,3.9046,11.8928,9.1456,27.4024,17.5915,0.0044,1.1558,-29.0285,0.2284,-16.8364,-48.779,2777.56861539922,2.62,1693.37364201715,2.7087,30.1158292767733,69290.5,0.199328241795572,0.0,8.19547826641261,10727.9822007426,8.82266657090874,10030.0,61180404551.0762,230080.0,19.7481,9.4721,1.1546,3.4016,0.0231,0.0441,0.0185,0.0258,5.6083,7.6184,0.2412,0.0031,0.0303,2.4062,0.0828,0.17,0.4033,85.1387126216968,17.5110400917741,24.3,24.5,115.2104,5.88146797786379,66.4314,10453491.0,53.3648643239046,-0.9295931039634,9.280703975649686
273,Romania,ROU,2018,99.8,99.9,99.8,58.3014603616134,134140.0,15.61,-55.7865316073785,83.0019,4.26219717910626,1.1501,11.2341,3.7178,12.5892,9.5107,26.7117,18.0805,0.0079,1.1543,-28.3373,0.2284,-16.4741,-46.8386,2838.45564104289,2.49,1717.11748022415,2.7855,30.1158292767733,69290.5,0.186181613264917,0.0,5.39452228185675,12416.134317959,6.01553045118388,11490.0,70379466092.2155,230080.0,19.4402,9.241,1.1455,3.2854,0.0242,0.0443,0.0177,0.0255,5.6567,7.5911,0.262,0.0029,0.0317,2.3017,0.0782,0.1682,0.3966,84.6399947844228,17.5989660421448,24.3,24.5,116.06,5.95975037447423,69.2214,10349358.0,53.1445711571868,-1.0011500806521,9.426832597621685
274,Romania,ROU,2019,100.0,100.0,100.0,60.0921418636996,138260.0,15.3,-56.7718301666383,81.1522,4.18922540818417,1.0175,11.2763,3.3054,12.8972,9.4198,24.6777,18.5506,0.0077,1.1531,-28.8962,0.2284,-15.7724,-46.8404,2820.56539536543,2.37,1705.25777604649,2.7997,30.1158292767733,69290.5,0.17146485178739,0.0,3.96028958497598,12909.6104013244,4.50941296110349,12660.0,69458756348.9208,230080.0,19.3522,9.1319,1.1557,3.2579,0.0239,0.0443,0.0168,0.0258,5.6959,7.3288,0.262,0.003,0.0315,2.3867,0.0749,0.1842,0.3907,84.1952712100139,17.6872955172711,24.4,24.5,113.9659,5.88312878697775,67.1255,10246281.0,52.8931835224862,-1.00096783243341,9.465804764002932
275,Romania,ROU,2020,100.0,100.0,100.0,56.7150556328234,130490.0,15.79,-59.6755231851719,75.7011,3.92941176470588,1.1425,11.4685,3.0131,13.3781,9.438,19.2525,18.0008,0.0075,1.1361,-28.6024,0.2284,-18.7048,-49.2101,2726.41154410143,2.39,1669.6382293589,2.7737,30.1158292767733,69290.5,0.196030160199085,0.0,-3.59802546034757,13009.1770573223,-3.06561724934225,12720.0,66721096552.4911,230080.0,18.9253,8.9573,1.1587,2.8656,0.0265,0.0462,0.0155,0.0238,5.8317,7.3547,0.2598,0.0033,0.0348,2.478,0.0545,0.1767,0.392,83.7328320584145,17.7908296149213,24.4,24.5,108.1538,5.6139318202463,58.9437,10135823.0,52.611947245178,-1.0838830121159,9.473487180739257
276,Romania,ROU,2021,100.0,100.0,100.0,56.8454450625869,130790.0,15.15,-56.9879385223132,80.7465,4.22268857135102,0.9608,13.1744,2.8193,14.3165,9.6541,20.6392,19.1771,0.0051,1.1357,-28.3049,0.2284,-17.9833,-47.8666,2900.83824132119,2.4,1787.09564245924,2.8284,30.1158292767733,69290.5,0.176558892679398,0.0,5.58735072538869,14907.9803652143,6.37801653902932,14180.0,74702704079.9035,230080.0,18.8039,8.7473,1.2343,2.8767,0.0289,0.0478,0.0172,0.0243,5.8273,7.5845,0.2801,0.0033,0.038,2.5565,0.061,0.1931,0.383,83.1104789638387,17.9642832505812,24.4,24.5,113.4783,5.93441846403675,65.6117,9987863.0,52.2321512130811,-1.47053244927971,9.609719019452168
296,Slovak Republic,SVK,2017,100.0,100.0,100.0,39.0806988352745,18790.0,24.45,-37.7769861531662,37.7288,6.93642043582623,0.061,4.8001,5.8262,7.7511,4.7002,6.787,7.7963,0.0069,0.0849,-3.6901,0.0,-0.5871,-5.2693,5424.11134513108,4.33,3316.8259702586,0.7783,40.05615640599,19259.0,0.302917316859385,0.0,2.87473327453695,17645.5298716761,2.71521709643727,16710.0,26947588754.4306,48080.0,5.5091,1.6204,0.2682,0.6882,0.0244,0.0202,0.0202,0.0072,2.8603,1.1427,0.0543,0.0014,0.0315,1.4547,0.1264,0.0755,0.1623,113.128785357737,14.6511761885852,37.3,37.3,47.0651,8.65289437920648,41.7958,2916114.0,53.6126018237016,-0.0820276118766918,9.77829443519454
297,Slovak Republic,SVK,2018,100.0,100.0,100.0,39.2886855241265,18890.0,24.08,-38.5786709942145,37.2427,6.83757404157436,0.1066,4.511,5.7355,8.3788,4.5784,6.1909,7.7274,0.0141,0.1444,-2.9672,0.0,-0.5836,-4.2956,5400.99813265511,4.14,3269.57251976129,0.7483,40.05615640599,19259.0,0.261165888626285,0.0,4.06211981896483,19573.3717031314,3.91808506492153,18460.0,30483493389.2651,48080.0,5.4262,1.6081,0.2189,0.688,0.0263,0.0198,0.0196,0.0067,2.8388,1.3273,0.048,0.0013,0.0341,1.4707,0.126,0.0762,0.1689,113.285586522463,14.7567582225026,37.6,37.6,46.6697,8.56832424201421,42.3741,2913377.0,53.4881496935559,-0.0939018587082026,9.881976423441277
298,Slovak Republic,SVK,2019,100.0,100.0,100.0,39.2054908485857,18850.0,26.2,-42.5950114455725,34.8074,6.3818228588265,0.0982,4.5013,4.6996,7.4571,4.551,5.6574,7.8287,0.0141,0.0656,-3.972,0.0,-0.5137,-5.065,5213.46417689146,3.98,3128.36337933814,0.7536,40.05615640599,19259.0,0.231740977475859,0.0,2.27589910019393,19406.0589683582,2.13758470717096,19230.0,30849975897.1215,48080.0,5.3397,1.5743,0.2325,0.6963,0.0268,0.0165,0.019,0.0064,2.7678,1.2385,0.0495,0.0011,0.0348,1.4542,0.0979,0.0771,0.1646,113.43899750416,14.8592639011425,37.6,37.6,44.0185,8.070647894162,38.9535,2910696.0,53.3666558664583,-0.0920661602068446,9.873392143217202
299,Slovak Republic,SVK,2020,100.0,100.0,100.0,39.1638935108153,18830.0,27.37,-46.1630944606068,32.6439,5.98002098252976,0.1273,4.266,4.3143,7.2101,4.3017,5.4247,6.9882,0.0115,0.0719,-6.6414,0.0,-0.427,-7.2438,5050.16920301742,3.99,3032.64269516845,0.7187,40.05615640599,19259.0,0.205630977226963,0.0,-2.58551241733207,19735.4858280801,-2.66902849173539,19420.0,30744436696.9822,48080.0,5.4223,1.5864,0.2437,0.699,0.0236,0.0151,0.0203,0.0056,2.8287,1.3131,0.0494,0.0011,0.0307,1.4697,0.0811,0.0716,0.1945,113.536335274542,14.9627398789085,37.6,37.6,41.9962,7.69326450535985,34.7524,2906727.0,53.2481998906526,-0.136452192519956,9.890224274245904
300,Slovak Republic,SVK,2021,100.0,100.0,100.0,38.6023294509151,18560.0,25.47,-39.5589661382572,36.6483,6.72785720933896,0.1311,5.0248,5.7603,7.9856,4.7956,5.693,7.251,0.0068,0.06,-6.3783,0.0,-0.5627,-7.2638,5404.56491141305,4.14,3305.89912789281,0.7433,40.05615640599,19259.0,0.1989552526273,0.0,5.6558588065555,22123.3342114545,5.88046673143569,21010.0,33035798493.7126,48080.0,5.6286,1.5224,0.2838,0.7781,0.0237,0.0205,0.0233,0.0055,2.9713,1.3503,0.0534,0.0013,0.0308,1.572,0.0762,0.0757,0.1919,113.295486688852,15.0866345988247,37.6,37.6,46.3719,8.51290569346314,39.1081,2897399.0,53.1901479870605,-0.321426792975625,10.004433377285704
312,Spain,ESP,2017,100.0,100.0,100.0,52.6387138276281,262955.3,19.35,21.3176314933947,278.3849,5.97761510797052,1.4326,31.1759,22.1456,32.925,20.5966,78.9062,91.2029,0.0,1.3468,-47.9131,0.0373,-4.2067,-53.2969,5605.86415235912,2.84,2690.49733287835,7.4894,37.1522339173654,185593.0,0.0231565010767362,0.0,2.89604207865007,28381.3425596906,2.64617061107108,27290.0,263091449188.236,499547.35,43.4265,27.4576,0.8344,1.2288,0.0965,0.0434,0.1258,0.1471,13.4929,15.1298,0.6527,0.0111,0.1347,2.4929,0.3088,0.8536,1.432,93.2268622784207,17.3038932788478,14.9,28.0,350.3164,7.52216303833233,297.0195,37008446.0,79.4663233085683,0.375011440683515,10.253522489932335
313,Spain,ESP,2018,100.0,100.0,100.0,52.408209711446,261833.239,19.84,18.4432412739391,271.7891,5.80969253331158,1.1069,33.0115,22.1009,33.5762,20.9624,68.7619,92.2693,0.0,1.3319,-47.8319,0.0408,-4.5402,-53.7479,5556.79404205176,2.77,2666.26079715432,5.7865,37.1566467814769,185635.9,0.029298367314375,0.0,2.39541124478878,30602.4212881113,1.93406292039191,29530.0,282585880832.941,499603.479,43.8153,27.8145,0.8474,1.2508,0.097,0.0423,0.119,0.149,13.4953,15.3281,0.6679,0.0113,0.1353,2.4594,0.2735,0.8682,1.5161,93.638281089712,17.4565485459177,15.0,28.1,342.6507,7.32441151364784,288.9028,37218835.0,79.5580057813361,0.566879348329503,10.328867088491581
314,Spain,ESP,2019,100.0,100.0,100.0,52.4584917258728,262066.906,21.0,10.8440487074875,254.3514,5.3981216422823,1.1296,31.2538,21.0844,33.66,19.9091,53.7334,93.581,0.0,1.357,-47.4535,0.0353,-4.1669,-52.3962,5418.86933117843,2.64,2573.90442450746,5.6304,37.1677215644695,185678.8,0.0212563494432773,0.0,1.96117850841711,29786.5245689007,1.23303741249605,30560.0,280389183098.039,499570.036,43.5605,27.9823,0.8224,1.1903,0.1012,0.0398,0.1283,0.1558,13.1404,15.0218,0.6849,0.0109,0.1402,2.3845,0.1653,0.8812,1.4025,94.3181087826492,17.4801448089958,17.9,28.1,324.2336,6.88123758436203,271.8374,37522807.0,79.6349761108307,0.813398442437862,10.301844946212388
315,Spain,ESP,2020,100.0,100.0,100.0,52.3316792232841,261426.381,24.11,-6.54261730839796,214.4546,4.52823497177668,1.337,31.3284,19.2608,30.7695,18.076,39.8935,73.7894,0.0,1.3454,-47.0751,0.0377,-3.8629,-51.4742,5089.18774012116,2.67,2303.51311623486,4.7242,37.1773054885498,185721.7,0.0195039646757914,0.0,-10.9400706350371,27233.9426461608,-11.3931290455953,27410.0,259496676188.328,499556.645,43.8319,28.4399,0.8198,1.2156,0.0923,0.0352,0.123,0.1249,12.9813,15.3492,0.7385,0.0099,0.1296,2.159,0.1358,0.7031,1.4755,94.802910688937,17.5329187686036,17.9,28.1,283.7113,5.99059861876698,232.2371,37743362.0,79.6955674617799,0.586068440110494,10.21225608392831
316,Spain,ESP,2021,100.0,100.0,100.0,52.4848941208322,262284.464,22.79,1.62327786295071,233.1927,4.91513320564969,0.9788,32.486,20.5046,32.0378,20.0243,40.6221,86.5391,0.0,1.3354,-46.6094,0.0373,-4.4737,-52.1988,5236.4247812165,2.66,2422.46704705393,4.8208,37.1727521093233,185764.6,0.0179665098501539,0.0,6.68314420473001,30799.4775937775,6.49336738803039,30380.0,296874914271.313,499733.244,44.5964,28.6348,0.8228,1.2567,0.0948,0.0393,0.1299,0.1473,13.4709,14.443,0.7531,0.011,0.1314,2.2644,0.1421,0.8161,1.5044,94.9382927184248,17.6178564407025,17.9,28.1,302.6753,6.3796568998943,250.4765,37852874.0,79.7846242983598,0.289728913503661,10.335285475132922
320,Sweden,SWE,2017,100.0,100.0,100.0,7.39330060221358,30113.7,50.03,-26.7860642885143,41.8362,4.15961982553065,0.0236,2.5789,3.4508,6.9013,4.3594,7.0682,17.2931,0.1609,1.2147,-52.1615,0.0,9.946,-47.9036,13498.416834548,3.91,4926.81117539334,1.2074,68.6944981353789,279800.0,0.191499546174063,0.0,1.88282184966646,53210.2233318965,0.519214362381689,52240.0,118722133835.96,407310.64,8.2362,4.0453,0.3927,0.1523,0.1699,0.0113,0.2109,0.0823,3.1714,4.1619,0.1429,0.0016,0.2251,0.7488,0.4068,0.1716,0.1978,24.6929419766692,17.7019290473112,15.0,14.9,57.3362,5.70072793993218,9.4326,8774072.0,87.237373786911,1.61992094622639,10.882024617965046
321,Sweden,SWE,2018,100.0,100.0,100.0,7.36634329022193,30003.9,49.83,-30.6149199193594,39.6483,3.89655686848453,0.0168,2.4378,1.8152,6.907,4.4779,7.2942,16.5355,0.1638,2.4492,-47.9037,0.0,10.2453,-41.4166,13330.4321658493,3.91,4966.26111814633,1.1421,68.6944981353789,279800.0,0.253253037737023,0.0,1.7702553546772,54018.4554391861,0.594886136077946,54930.0,122423325346.26,407310.64,8.087,4.0087,0.3435,0.1675,0.1692,0.0128,0.2063,0.0839,3.095,4.0764,0.1307,0.0009,0.2242,0.7413,0.4325,0.1651,0.1982,24.9814588688378,17.7848763926104,15.0,14.9,54.8468,5.39023552723314,13.4302,8900641.0,87.4737430925296,1.43222878427888,10.897099546569882
322,Sweden,SWE,2019,100.0,100.0,100.0,7.37821646042035,30050.0,51.14,-30.8830220641765,39.4951,3.8423518032643,0.0198,2.514,2.4271,7.0175,4.2338,6.4381,16.6786,0.1662,2.5558,-45.9109,0.0,9.076,-41.3656,12811.5038135938,3.73,4781.87568337501,1.0994,68.6996660773915,279800.0,0.207231534510574,0.0,2.60823012869524,51648.9892820514,1.57332206499805,56100.0,118793246072.98,407280.0,8.1872,3.9131,0.3339,0.1706,0.1726,0.0133,0.2172,0.0719,3.2946,4.284,0.1355,0.001,0.2289,0.7396,0.3839,0.1654,0.201,25.2378879395011,17.8363734517902,14.6,14.4,54.9209,5.34307848699961,13.5553,9015493.0,87.7088420242759,1.28212451768993,10.852245267036658
323,Sweden,SWE,2020,100.0,100.0,100.0,7.38067177371833,30060.0,49.58,-33.4315674525396,38.0388,3.67402454179006,0.0182,2.4144,2.8951,6.8341,4.4869,6.0225,15.2059,0.1617,2.3077,-44.3616,0.0,9.6178,-40.9622,12607.4980668265,3.44,4284.99805555044,1.0499,68.6996660773915,279800.0,0.179998566679703,0.0,-1.93379704032216,52568.5726980146,-2.63997048116038,54590.0,118750195745.335,407280.0,8.4105,3.8755,0.3646,0.1733,0.1877,0.0154,0.2044,0.0655,3.5239,4.3309,0.1299,0.0012,0.2484,0.8526,0.2862,0.1522,0.2048,25.4209438224317,17.9328518870703,14.7,14.5,53.7054,5.18720247817103,12.7432,9105066.0,87.9424046895699,0.988642012430427,10.869892765532686
324,Sweden,SWE,2021,100.0,100.0,100.0,7.3733058338244,30030.0,48.82,-29.1620582964664,40.4785,3.88625523254982,0.0102,2.3617,4.3709,7.1395,4.5705,6.4227,15.4466,0.1564,0.6673,-40.5093,0.0,9.9054,-38.3049,13017.9973503743,3.49,4558.74420693219,1.0143,68.6996660773915,279800.0,0.179786890775554,0.0,5.2258643028773,60647.5416365347,4.5957806799404,59840.0,142620006407.407,407280.0,8.269,3.8643,0.3675,0.184,0.1849,0.0162,0.2324,0.0615,3.3584,4.1547,0.127,0.0024,0.2448,0.848,0.3212,0.1529,0.2049,25.5740792575133,18.0374701629585,14.8,14.5,55.8177,5.35893940471846,17.5128,9184054.0,88.1741651958315,0.863775743315115,11.012850868518953
328,Switzerland,CHE,2017,100.0,100.0,100.0,38.259882464098,15116.338,35.75,-11.0350713738318,39.8183,4.71119898152355,0.049,12.9996,0.3795,5.1345,2.7844,2.7218,15.7479,0.0017,0.6794,-3.1664,0.7698,-0.1452,-1.8808,7582.25427835832,1.71,2809.47945669194,1.5878,31.8603337971021,12587.9,0.00961701007033083,0.0,1.36279965488859,82254.3769269767,0.421326259922779,80770.0,168361612687.559,39509.63,5.5928,4.1856,0.2729,0.7811,0.0198,0.0029,0.0455,0.0266,0.2585,1.3951,0.053,0.0002,0.0263,0.2034,0.0565,0.1458,0.1633,213.918480127503,20.5926575207998,9.7,9.7,49.0425,5.80258263289414,47.1617,6585051.0,77.9126273688843,2.53743050638578,11.31758403946326
329,Switzerland,CHE,2018,100.0,100.0,100.0,38.1824051503393,15085.727,41.54,-13.9405192002199,38.5179,4.52389143055195,0.0155,11.9296,0.3944,4.9613,2.7121,2.6888,15.8147,0.0016,0.6578,-1.4997,0.7683,1.2173,1.0635,7433.82126765362,1.67,2806.4991558403,1.5639,31.9474011778901,12622.3,0.0127915099112579,0.0,2.86044579439036,85217.3691512274,2.10552471989985,82470.0,177212592845.091,39509.63,5.632,4.1835,0.2582,0.8425,0.0189,0.0029,0.0454,0.0263,0.2543,1.3955,0.0495,0.0002,0.025,0.2012,0.0565,0.1467,0.164,215.500094533915,20.304227396611,9.7,9.7,47.7525,5.60848658772758,48.816,6751200.0,79.2922201625844,2.49181868216515,11.352972289945507
330,Switzerland,CHE,2019,100.0,100.0,100.0,38.1050341397781,15055.158,42.65,-14.2142175689776,38.3954,4.47745146514166,0.014,11.9413,0.3584,4.8461,2.6899,2.782,15.7621,0.0016,0.5982,-2.7782,0.7675,-1.8393,-3.2005,7353.92896791708,1.69,2857.15819180217,1.4995,32.034468558678,12656.7,0.00873845683473987,0.0,1.14198218965691,84121.9310304414,0.423089633793808,83160.0,178330806269.025,39509.63,5.6208,4.1004,0.2613,0.9091,0.019,0.0029,0.0473,0.026,0.2548,1.3902,0.0496,0.0002,0.0251,0.2002,0.0589,0.1464,0.1692,217.042781721823,19.9665369818321,10.0,10.0,47.5554,5.54563815992014,44.3549,6927050.0,80.7792907322229,2.5713770284745,11.34003447265281
331,Switzerland,CHE,2020,100.0,100.0,100.0,38.0271063029444,15024.369,42.38,-19.7000265878415,35.9401,4.16061648264036,0.0428,11.0598,0.3643,4.7111,2.5762,2.7365,14.4479,0.0016,0.5133,-2.7443,0.767,0.2076,-1.2783,7154.99017326245,1.65,2690.39023280182,1.46,32.1215359394659,12691.1,0.0077966012865903,0.0,-2.14173712008038,85897.7843338323,-2.85415823647342,81740.0,184222986836.616,39509.63,5.6614,4.0778,0.2604,0.9814,0.0191,0.0027,0.0477,0.0231,0.2492,1.483,0.0479,0.0002,0.0251,0.1891,0.0595,0.1354,0.1709,218.63446962171,19.6175014888626,12.0,12.0,45.1725,5.2294080445539,43.8942,7112812.0,82.3416838515457,2.64636277763181,11.360924955763151
332,Switzerland,CHE,2021,100.0,100.0,100.0,37.9496922648985,14993.783,37.63,-15.924106235184,37.6301,4.32303993798183,0.0426,12.4093,0.3158,4.8702,2.6792,2.6877,14.6238,0.0015,0.5645,-2.9888,0.7658,1.3569,-0.4468,7315.37290974165,1.53,2619.80556120156,1.3792,32.2086033202538,12725.5,0.0085951130615847,0.0,5.55962020605844,93664.7736696111,4.75464519304134,89120.0,209009387615.526,39509.63,5.7826,4.0785,0.2968,1.0595,0.0206,0.0029,0.0489,0.0233,0.2521,1.4773,0.054,0.0001,0.027,0.1965,0.0611,0.1369,0.1749,220.31454103721,19.2047681601641,12.1,12.1,46.9199,5.39027538024384,46.4731,7329284.0,84.2006477608879,2.99801654408171,11.447488125825933
336,Ukraine,UKR,2017,100.0,100.0,100.0,71.6191955808735,414890.0,26.13,-73.8292988045547,205.5813,4.52463056805499,2.7558,28.1175,16.4485,31.4066,18.3983,83.0925,25.3547,0.0075,0.1302,-26.4061,0.0,23.5769,-2.6947,2950.78525877728,7.42,1967.83535233788,1.0388,16.6942862074918,96710.0,0.37008282704992,0.0,2.35997228099491,2604.28759765625,2.86027869650954,2330.0,26104533789.0105,579300.0,65.0874,13.6572,0.7689,39.1059,0.0391,0.1139,0.0534,0.1019,11.2471,20.1225,0.4486,0.0105,0.0531,4.2072,0.2572,0.3102,0.708,78.432661833247,9.32934475219432,3.9,4.0,297.8249,6.5548162525868,295.1302,31470506.0,69.2633108489282,-0.320440524062044,7.865298350264902
337,Ukraine,UKR,2018,100.0,100.0,100.0,71.3306869175009,413290.0,24.85,-72.2098266427969,218.3029,4.82875863377984,2.5581,30.0205,19.4247,35.6074,18.0257,87.5562,25.0953,0.015,0.0489,-24.7882,0.0,33.1869,6.9344,3025.31091937259,7.5,2068.75608372619,1.3686,16.7034863652054,96780.0,0.363229785921986,0.0,3.48836234022659,3059.0517578125,4.09937975447431,2720.0,30488897039.0683,579400.0,66.5654,13.2088,0.8226,41.1559,0.047,0.1106,0.058,0.1004,11.062,18.9902,0.4687,0.0106,0.0642,4.1344,0.2744,0.3061,0.707,78.0271090783569,9.43521721905299,3.9,4.0,311.1926,6.88343560263468,318.127,31336915.0,69.3157992777909,-0.425399417245174,8.026187109121192
